time,Altitude,BatteryVolts,GPSFix,Latitude,Longitude,NumberOfSatellites,Pitch,Roll,VelocityX,VelocityY,VelocityZ,Yaw,blerDl,blerUl,brateDl,brateUl,buff,cc,cfo,mcsDl,mcsUl,num,pci,pl,rsrp,snr,ta_us,turbo 
2024-10-23 01:09:16.103849,29.9990000000,12.5870000000,6.0000000000,35.7274435909,-78.6965060983,10.0000000000,-0.2095746284,0.0148282045,-4.3821749081,2.3421749081,0.0000000000,2.5542324303,0.0000000000,0.0000000000,13000000.0000000000,345000.0000000000,441.0000000000,0.0000000000,406u,26.0000000000,15.0000000000,236.7825091905,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:09:17.103843,29.9990000000,12.5870000000,6.0000000000,35.7274041550,-78.6964800189,10.0000000000,-0.2116359336,0.0146878013,-4.3956177075,2.3478088537,0.0000000000,2.5549298657,0.0000000000,0.0000000000,14000000.0000000000,383000.0000000000,224.0000000000,0.0000000000,-798u,26.0000000000,15.0000000000,237.7808853728,1.0000000000,70.0000000000,-70.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:09:18.103901,29.9990000000,12.5870000000,6.0000000000,35.7273646603,-78.6964538959,10.0000000000,-0.2093408532,0.0147332523,-4.4000000000,2.3500000000,0.0000000000,2.5544344898,0.0000000000,0.0000000000,14000000.0000000000,383000.0000000000,269.0000000000,0.0000000000,780u,26.0000000000,15.0000000000,238.7787812027,1.0000000000,71.0000000000,-71.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:09:19.103875,29.9990000000,12.5870000000,6.0000000000,35.7273251435,-78.6964277510,10.0000000000,-0.2099531399,0.0141758023,-4.4000000000,2.3500000000,0.0000000000,2.5548087277,0.0000000000,0.0000000000,14000000.0000000000,373000.0000000000,224.0000000000,0.0000000000,0.0018000000000000002,26.0000000000,16.0000000000,239.7766803463,1.0000000000,71.0000000000,-71.0000000000,68.0000000000,0.0000000000,1.0000000000
2024-10-23 01:09:20.103859,29.9997747850,12.5870000000,6.0000000000,35.7272855410,-78.6964016006,10.0000000000,-0.2080806286,0.0141142911,-4.3922521499,2.3500000000,0.0000000000,2.5545307200,0.0000000000,0.0000000000,14000000.0000000000,359000.0000000000,214.0000000000,0.0000000000,0.0016,26.0000000000,15.0000000000,240.7747850051,1.0000000000,71.0000000000,-71.0000000000,67.0000000000,0.0000000000,1.0000000000
2024-10-23 01:09:21.103882,29.9992276693,12.5870000000,6.0000000000,35.7272462474,-78.6963755422,10.0000000000,-0.2116899807,0.0141276758,-4.3900000000,2.3577233067,0.0000000000,2.5550825784,0.0000000000,0.0000000000,14000000.0000000000,389000.0000000000,168.0000000000,0.0000000000,-729u,25.0000000000,15.0000000000,241.7723306702,1.0000000000,71.0000000000,-71.0000000000,67.0000000000,0.0000000000,1.0000000000
2024-10-23 01:09:22.103892,29.9990000000,12.5870000000,6.0000000000,35.7272068081,-78.6963494260,10.0000000000,-0.2099630449,0.0142423664,-4.3976999814,2.3600000000,0.0000000000,2.5547336639,0.0000000000,0.0000000000,14000000.0000000000,366000.0000000000,153.0000000000,0.0000000000,-682u,25.0000000000,15.0000000000,242.7699981431,1.0000000000,71.0000000000,-71.0000000000,67.0000000000,0.0000000000,1.0000000000
2024-10-23 01:09:23.103981,29.9990000000,12.5870000000,6.0000000000,35.7271672740,-78.6963232697,10.0000000000,-0.2101257393,0.0139665710,-4.4000000000,2.3600000000,0.0000000000,2.5548045089,0.0000000000,0.0000000000,14000000.0000000000,363000.0000000000,380.0000000000,0.0000000000,-277u,26.0000000000,16.0000000000,243.7683328072,1.0000000000,71.0000000000,-71.0000000000,67.0000000000,0.0000000000,1.0000000000
2024-10-23 01:09:24.103916,29.9997665743,12.5870000000,6.0000000000,35.7271276670,-78.6962971158,10.0000000000,-0.2066140611,0.0138705470,-4.3923342568,2.3600000000,0.0000000000,2.5551436737,0.0000000000,0.0000000000,14000000.0000000000,399000.0000000000,325.0000000000,0.0000000000,-171u,26.0000000000,15.0000000000,244.7665743244,1.0000000000,71.0000000000,-71.0000000000,67.0000000000,0.0000000000,1.0000000000
2024-10-23 01:09:25.103878,30.0000000000,12.5870000000,6.0000000000,35.7270882617,-78.6962710353,10.0000000000,-0.2112637942,0.0138218970,-4.3900000000,2.3600000000,0.0000000000,2.5550335152,0.0000000000,0.0000000000,14000000.0000000000,415000.0000000000,57.0000000000,0.0000000000,0.0012,26.0000000000,15.0000000000,245.7649306882,1.0000000000,71.0000000000,-71.0000000000,67.0000000000,0.0000000000,1.0000000000
